State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio (%),Discharge Ratio (%),Death Ratio (%)
Andaman and Nicobar,7584,8,7447,129,0.11,98.19,1.7
Andhra Pradesh,2030849,14652,2002187,14010,0.72,98.59,0.69
Arunachal Pradesh,53807,533,53004,270,0.99,98.51,0.5
Assam,595669,5615,584296,5758,0.94,98.09,0.97
Bihar,725833,77,716098,9658,0.01,98.66,1.33
Chandigarh,65160,32,64311,817,0.05,98.7,1.25
Chhattisgarh,1004902,376,990968,13558,0.04,98.61,1.35
Dadra and Nagar Haveli and Daman and Diu,10670,5,10661,4,0.05,99.92,0.04
Delhi,1438250,377,1412790,25083,0.03,98.23,1.74
Goa,174891,702,170972,3217,0.4,97.76,1.84
Gujarat,825629,161,815386,10082,0.02,98.76,1.22
Haryana,770659,351,760501,9807,0.05,98.68,1.27
Himachal Pradesh,215893,1521,210733,3639,0.7,97.61,1.69
Jammu and Kashmir,326990,1247,321329,4414,0.38,98.27,1.35
Jharkhand,348079,117,342829,5133,0.03,98.49,1.47
Karnataka,2962408,16269,2908622,37517,0.55,98.18,1.27
Kerala,4390489,209335,4158504,22650,4.77,94.72,0.52
Ladakh,20608,30,20371,207,0.15,98.85,1.0
Lakshadweep,10353,5,10297,51,0.05,99.46,0.49
Madhya Pradesh,792353,131,781705,10517,0.02,98.66,1.33
Maharashtra,6500617,53427,6309021,138169,0.82,97.05,2.13
Manipur,117230,2617,112801,1812,2.23,96.22,1.55
Meghalaya,78359,1859,75141,1359,2.37,95.89,1.73
Mizoram,72883,13369,59273,241,18.34,81.33,0.33
Nagaland,30657,580,29432,645,1.89,96.0,2.1
Odisha,1016833,5919,1002810,8104,0.58,98.62,0.8
Puducherry,124836,860,122153,1823,0.69,97.85,1.46
Punjab,601072,309,584306,16457,0.05,97.21,2.74
Rajasthan,954198,90,945154,8954,0.01,99.05,0.94
Sikkim,30650,809,29464,377,2.64,96.13,1.23
Tamil Nadu,2635419,16522,2583707,35190,0.63,98.04,1.34
Telengana,661866,5253,652716,3897,0.79,98.62,0.59
Tripura,83672,485,82382,805,0.58,98.46,0.96
Uttar Pradesh,1709555,175,1686497,22883,0.01,98.65,1.34
Uttarakhand,343242,293,335560,7389,0.09,97.76,2.15
West Bengal,1557414,8096,1530731,18587,0.52,98.29,1.19
